Description,Supplier,URL,Entity,Expense Type,Transaction Number,Amount,Expense Area,Date,Departmental Family
Payroll managed service audit fee,RSM Tenon Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,Buying Solutions,Payroll Solutions,PINDOH 32706,"58,000.00",Payroll Solutions,27/04/2011,Cabinet Office
Security costs for government secure intranet,CESG,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,Buying Solutions,GSI COS,PINDOH 32630,"37,959.00",Network Services,27/04/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Accommodation and Utilities,3000016509,"169,454.70",ESTATE MANAGEMENT,27/04/2011,Cabinet Office
National Citizen Service project grant,THE CHALLENGE NETWORK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016527,"2,110,530.00",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
National Citizen Service project grant,CATCH22 CHARITY LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016505,"710,989.00",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
National Citizen Service project grant,SAFE IN TEES VALLEY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016525,"623,546.00",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
National Citizen Service project grant,THE PRINCES TRUST,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016529,"387,092.00",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
National Citizen Service project grant,NORWICH CITY COMMUNITY SPORTS FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016520,"257,588.00",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
First instalment 2011-12 strategic partners transition grant,VOLUNTEERING ENGLAND,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016532,"166,666.67",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
First instalment 2011-12 strategic partners transition grant,LOCALITY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016516,"165,333.33",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
First instalment 2011-12 strategic partners transition grant,ACEVO,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016502,"138,333.33",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
First instalment 2011-12 strategic partners transition grant,NAVCA,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016519,"115,000.00",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
First instalment 2011-12 strategic partners transition grant,COMMUNITY FOUNDATION NETWORK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016507,"110,000.00",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
First instalment 2011-12 strategic partners transition grant,SCHOOL FOR SOCIAL ENTREPRENEURS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,103203,"105,000.00",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
First instalment 2011-12 strategic partners transition grant,INSTITUTE OF FUNDRAISING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000016512,"91,666.67",OFFICE FOR CIVIL SOCIETY,27/04/2011,Cabinet Office
Regional media monitoring services 2010 -2011,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Supplies and Services,3000016506,"31,903.04",PRIME MINISTERS OFFICE,27/04/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,Buying Solutions,Peripherals,PINMTS 19938,"255,716.26",Network Services,28/04/2011,Cabinet Office
Specialist expertise to support set-up of 'Lean' procurement programme.,UNIPART LOGISTICS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-april-2011.csv,CABINET OFFICE,Consultancy,3000016561,"50,000.40",ERG COMMERCIAL AND PROCUREMENT,28/04/2011,Cabinet Office
Reprographic Services,RICOH UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,3000015017,"49,193.24",ESTATE MANAGEMENT,01/03/2011,Cabinet Office
Operating leases rent,WESTMINSTER CITY COUNCIL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,3000015019,"33,657.06",ESTATE MANAGEMENT,01/03/2011,Cabinet Office
BBC monitoring monthly payment,BBC MONITORING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,3000015007,"1,933,333.33",INTELLIGENCE SECURITY AND RESILIENCE,01/03/2011,Cabinet Office
Capital Investment Programme Strand C Grant,Blackburn with Darwen Council for Voluntary Service,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Capacity Builders,Grant,1921,"109,755.35",Capacitybuilders,01/03/2011,Cabinet Office
Capital Investment Programme Strand C Grant,Gateshead Citizens Advice Bureau,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Capacity Builders,Grant,1924,"96,072.44",Capacitybuilders,01/03/2011,Cabinet Office
Capital Investment Programme Strand C Grant,Slough Council for Voluntary Service,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Capacity Builders,Grant,1919,"92,863.12",Capacitybuilders,01/03/2011,Cabinet Office
Social Enterprise Programme Grant,Social Enterprise South East,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Capacity Builders,Grant,2287,"31,250.00",Capacitybuilders,01/03/2011,Cabinet Office
Social Enterprise Programme Grant,The North East Social Enterprise Partnership Limited,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Capacity Builders,Grant,2328,"27,505.00",Capacitybuilders,01/03/2011,Cabinet Office
Volunteer Management Programme Grant,Skills Third-Sector,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Capacity Builders,Grant,3078,"26,598.00",Capacitybuilders,01/03/2011,Cabinet Office
2010-2011 Charge,TREASURY SOLICITORS DEPT 3861,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,103141,"99,665.00",CENTRAL BUDGETS,02/03/2011,Cabinet Office
Fast-stream recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Other Staff Related Costs,3000015085,"74,167.11",CIVIL SERVICE CAPABILITIES GROUP,03/03/2011,Cabinet Office
Development of a Leadership Programme,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Other Staff Related Costs,3000015065,"40,000.00",COMMUNICATION GROUP,03/03/2011,Cabinet Office
Get Safe On Line campaign,ENDURANCE LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,3000015070,"31,500.00",INTELLIGENCE SECURITY AND RESILIENCE,03/03/2011,Cabinet Office
Final instalment 2010-11 Strategic grant,ASSOCIATION OF CHARITABLE FOUNDATIONS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Grants -in-Aid to Private Sector,3000015063,"42,000.00",OFFICE FOR CIVIL SOCIETY,03/03/2011,Cabinet Office
Grassroots Grants payment,COMMUNITY DEVELOPMENT FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Capital grants to Private Sector,3000015066,"3,127,992.89",OFFICE FOR CIVIL SOCIETY,03/03/2011,Cabinet Office
Grassroots Grants payment,COMMUNITY DEVELOPMENT FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000015066,"1,824,999.00",OFFICE FOR CIVIL SOCIETY,03/03/2011,Cabinet Office
Grant to provide business support for social enterprises in the regions,SOUTH WEST REG DEVELOPMENT AGENCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Central Government Bodies,3000015089,"75,291.00",OFFICE FOR CIVIL SOCIETY,03/03/2011,Cabinet Office
v match funding to support youth volunteering,V,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000015094,"1,688,701.00",OFFICE FOR CIVIL SOCIETY,03/03/2011,Cabinet Office
Interim IT Specialist,RETHINK RECRUITMENT SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Agency and Temporary Staff,3000015127,"37,157.95",DIRECTGOV,04/03/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,3000015111,"164,472.54",ESTATE MANAGEMENT,04/03/2011,Cabinet Office
Provision of vetting services by FCO services,FCO SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Other Staff Related Costs,3000015112,"149,754.97",FINANCIAL MANAGEMENT,04/03/2011,Cabinet Office
Payment to provide financial support for the production of the Audit of Political Engagement by the independent Hansard Society,HANSARD SOCIETY LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,3000015118,"30,000.00",POLITICAL AND CONSTITUTIONAL REFORM,04/03/2011,Cabinet Office
Contribution to Core Learning Programme,NATIONAL SCHOOL OF GOVERNMENT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Other Staff Related Costs,3000015166,"598,314.00",CENTRAL BUDGETS,07/03/2011,Cabinet Office
Interim IT Specialist,RETHINK RECRUITMENT SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Agency and Temporary Staff,3000015169,"32,248.05",DIRECTGOV,07/03/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,3000015157,"57,167.58",ESTATE MANAGEMENT,07/03/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,3000015192,"50,804.22",ESTATE MANAGEMENT,08/03/2011,Cabinet Office
Refurbishment of 70 Whitehall,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Assets Under Construction,3000015192,"46,520.19",INTELLIGENCE SECURITY AND RESILIENCE,08/03/2011,Cabinet Office
 Final instalment 2010-11 Strategic grant,ACEVO,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000015185,"70,041.00",OFFICE FOR CIVIL SOCIETY,08/03/2011,Cabinet Office
Grants for the Centre for Charitable Giving and Philanthropy,ECONOMIC & SOCIAL RESEARCH COUNCIL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Central Government Bodies,3000015191,"87,500.00",OFFICE FOR CIVIL SOCIETY,08/03/2011,Cabinet Office
 Olympics volunteering project grant,YOUTHNET UK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000015212,"200,000.00",OFFICE FOR CIVIL SOCIETY,08/03/2011,Cabinet Office
Legal negotiations for public sector network procurement,FIELD FISHER WATERHOUSE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,Legal Fees,PINDOH 32394,"52,163.64",PSN Services,08/03/2011,Cabinet Office
IT Service charges,MINISTRY OF JUSTICE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015227,"186,000.00",CENTRAL BUDGETS,09/03/2011,Cabinet Office
Facilities Management Services,MITIE MANAGED SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,3000015229,"33,261.83",ESTATE MANAGEMENT,09/03/2011,Cabinet Office
Annual IT support and maintenance cost for the GIS software tools,ESRI UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015222,"35,500.00",OFFICE OF GOVERNMENT COMMERCE,09/03/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,3000015221,"56,296.39",PRIME MINISTERS OFFICE,09/03/2011,Cabinet Office
Fast-stream recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Other Staff Related Costs,3000015255,"74,304.81",CIVIL SERVICE CAPABILITIES GROUP,10/03/2011,Cabinet Office
Public attitudes survey,TNS UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Consultancy,3000015261,"33,550.00",COMMITTEE ON STANDARDS IN PUBLIC LIFE,10/03/2011,Cabinet Office
IT service costs,SPECIALIST COMPUTER CENTRES PLC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015260,"33,231.25",DIRECTGOV,10/03/2011,Cabinet Office
Interim IT specialist,CADENCE PARTNERSHIP LLP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Agency and Temporary Staff,3000015276,"42,000.00",DIRECTGOV,11/03/2011,Cabinet Office
Reprographic Services,RICOH UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,3000015287,"35,190.18",ESTATE MANAGEMENT,11/03/2011,Cabinet Office
 Grant to support the Community Channel,MEDIA TRUST,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000015281,"300,000.00",OFFICE FOR CIVIL SOCIETY,11/03/2011,Cabinet Office
Operating Leases Rent,KING STURGE LLP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Land and Buildings,3000015313,"303,600.00",ESTATE MANAGEMENT,14/03/2011,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,Call Charges Std,PINMTS 19596,"69,127.86",Network Services,14/03/2011,Cabinet Office
Fast-stream recruitment,OFFICE OF NATIONAL STATISTICS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Consultancy,3000015349,"30,336.00",CIVIL SERVICE CAPABILITIES GROUP,15/03/2011,Cabinet Office
IT service costs,STERIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015352,"118,718.72",DIRECTGOV,15/03/2011,Cabinet Office
Payment for carbon reduction projects,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,3000015340,"50,000.00",ESTATE MANAGEMENT,15/03/2011,Cabinet Office
Legal Support Contract Renegotiation Stream,PINSENT MASONS LLP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Consultancy,3000015350,"86,000.00",OFFICE OF GOVERNMENT COMMERCE,15/03/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,3000015375,"37,808.14",PRIME MINISTERS OFFICE,16/03/2011,Cabinet Office
IT Hardware,PCS BUSINESS SYSTEMS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Hardware,3000015388,"47,033.74",PRIME MINISTERS OFFICE,16/03/2011,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,Data Services,PCROHD 887,"-63,216.67",Network Services,16/03/2011,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,SAP Rental,PCROHD 888,"-70,446.23",Network Services,16/03/2011,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,Data Services,PINMTS 19626,"27,012.77",Network Services,16/03/2011,Cabinet Office
Operating Leases Rent,NB REAL ESTATE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Land and Buildings,3000015426,"238,424.15",ESTATE MANAGEMENT,17/03/2011,Cabinet Office
Flex Service Charges,FUJITSU SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Hire of Plant and Machines Memorandum Accounts,3000015416,"769,066.74",IT AND TELECOMS BRANCH,17/03/2011,Cabinet Office
Evaluation of the Rural Community Action Network Investment Programme,Brian Wilson Associates,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Capacity Builders,Overheads,210/05,"30,940.66",Programmes,17/03/2011,Cabinet Office
Interim IT Specialist,CADENCE PARTNERSHIP LLP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Agency and Temporary Staff,3000015460,"27,960.00",DIRECTGOV,18/03/2011,Cabinet Office
Payment for the delivery of the Community Assets Fund,BIG LOTTERY FUND,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Consultancy,3000015459,"84,805.00",OFFICE FOR CIVIL SOCIETY,18/03/2011,Cabinet Office
Payment for the delivery of the Community Organisers programme,DEVELOPMENT TRUSTS ASSOCIATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Other Staff Related Costs,3000015468,"104,478.00",OFFICE FOR CIVIL SOCIETY,18/03/2011,Cabinet Office
Grants for the Third Sector Research Centre ,ECONOMIC & SOCIAL RESEARCH COUNCIL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Central Government Bodies,3000015470,"500,000.00",OFFICE FOR CIVIL SOCIETY,18/03/2011,Cabinet Office
Travel booked via the travel corporate contract,CARLSON WAGONLIT TRAVEL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,"Travel, Subsistence and Hospitality",3000015461,"25,544.51",OFFICE OF GOVERNMENT COMMERCE,18/03/2011,Cabinet Office
In-house training programme and examinations costs,LONDONMET ENTERPRISES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Other Staff Related Costs,3000015479,"30,985.85",OFFICE OF GOVERNMENT COMMERCE,18/03/2011,Cabinet Office
Commission for the Compact grant-in-aid ,COMMISSION FOR THE COMPACT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Grants-in-Aid to NDPB's,3000015464,"400,000.00",OFFICE OF THE THIRD SECTOR NDPBS,18/03/2011,Cabinet Office
Whitehall heating systems management,COFELY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,WSDS Maint & Rep,PINDOH 32422,"37,589.81",WSDS,18/03/2011,Cabinet Office
Whitehall heating systems management,COFELY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,WDHS Maint & Rep,PINDOH 32423,"60,245.07",WDHS,18/03/2011,Cabinet Office
Whitehall heating systems management,COFELY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,WDHS Cost of Heat,PINDOH 32424,"133,261.63",WDHS,18/03/2011,Cabinet Office
Whitehall heating systems management,COFELY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,WDHS Cost Elec Gen,PINDOH 32424,"95,733.43",WDHS,18/03/2011,Cabinet Office
2010-2011 Capitation cost,TREASURY SOLICITORS DEPT 3861,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,3000015525,"98,419.00",CENTRAL BUDGETS,21/03/2011,Cabinet Office
Operating Leases Rent,AIRSCAPE LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Land and Buildings,2000194,"290,845.50",ESTATE MANAGEMENT,21/03/2011,Cabinet Office
Training for staff,NATIONAL SCHOOL OF GOVERNMENT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Other Staff Related Costs,3000015517,"32,850.00",HUMAN RESOURCES,21/03/2011,Cabinet Office
IT  Service costs,CABLE & WIRELESS PLC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015506,"40,000.00",IT AND TELECOMS BRANCH,21/03/2011,Cabinet Office
Payment of grant to the Transition Fund,BIG LOTTERY TRANSITION FUND,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000015505,"7,056,999.00",OFFICE FOR CIVIL SOCIETY,21/03/2011,Cabinet Office
Grassroots Grants payment,COMMUNITY DEVELOPMENT FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Capital grants to Private Sector,3000015510,"7,628,856.61",OFFICE FOR CIVIL SOCIETY,21/03/2011,Cabinet Office
Contribution to the Communitybuilders investment programme run by CLG,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Capital Grants to NDPB's & Other Orgs within Central Govt,3000015511,"2,500,000.00",OFFICE FOR CIVIL SOCIETY,21/03/2011,Cabinet Office
High Integrity Telecomms System project costs,MINISTRY OF DEFENCE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,3000015545,"487,043.46",INTELLIGENCE SECURITY AND RESILIENCE,22/03/2011,Cabinet Office
"Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database",CORPORATE DOCUMENT SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015537,"133,402.45",OFFICE OF GOVERNMENT COMMERCE,22/03/2011,Cabinet Office
Operating leases rent,Birmingham City Council,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Commission for the Compact,Rates,002-02-0007266,"31,642.31",Support,22/03/2011,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,SAP Rental,PINMTS 19631,"25,500.00",Network Services,22/03/2011,Cabinet Office
Charge for in house legal team - Fees and Disbursements,TREASURY SOLICITORS DEPT 3861,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,103164,"35,709.10",CENTRAL BUDGETS,23/03/2011,Cabinet Office
 Final instalment - Grant to Compact Voice - to promote positive relations between civil society and Government,National Council for Voluntary Organisations,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000015594,"76,906.00",OFFICE FOR CIVIL SOCIETY,23/03/2011,Cabinet Office
